Geo Point;Postal Code
48.1321268962,11.5122375474;80686
48.1918788557,11.48250248;80997
48.1200752798,11.6011459158;81669
48.167245791,11.4039387172;81249
48.1480097835,11.6087753334;81679
48.1107153332,11.5890959961;81539
48.217157311,11.5149477676;80995
48.1281220582,11.6314949619;81673
48.1616977326,11.5060080194;80638
48.1592547919,11.5911393229;80802
48.1359642378,11.5729048503;80331
48.1629157525,11.570052315;80796
48.1099654474,11.5639899691;81543
48.1204341448,11.5874447961;81541
48.087293764,11.5573967819;81545
48.0775366123,11.5236193236;81479
48.1523349172,11.5750463062;80799
48.0797618322,11.5566343407;81545
48.130884668,11.4853221416;80689
48.1492412073,11.5296343596;80634
48.1391052689,11.6027305035;81675
48.1455583623,11.5539521328;80335
48.1452756567,11.4368110446;81243
48.1099539189,11.6404177327;81735
48.1747755004,11.5180235173;80992
48.1509055143,11.509219185;80639
48.1446519983,11.5912947093;80538
48.1986341882,11.5536439057;80935
48.1667839921,11.4677649912;81247
48.1219040581,11.6182992419;81671
48.0887770009,11.6612348635;81739
48.1792593211,11.5530892217;80809
48.089313485,11.4809391455;81475
48.1279493282,11.5714425954;80469
48.1102093425,11.493310889;81377
48.1451962896,11.5821419504;80539
48.1385179055,11.6312074217;81677
48.1723731934,11.5771764484;80804
48.1621588931,11.6223313744;81925
48.0831266002,11.5077152961;81477
48.1740308598,11.6067696143;80805
48.2104817205,11.575075868;80937
48.1186682118,11.6608812308;81825
48.1409458003,11.4641546085;81241
48.1413114691,11.5060446018;80687
48.217146401,11.5568127144;80933
48.1305790371,11.5995100461;81667
48.1631648746,11.5371388473;80637
48.1763735925,11.6343397537;81927
48.126388872,11.5583850029;80337
48.1189941194,11.4851917732;81375
48.1864972957,11.5192608305;80993
48.1553073317,11.565983869;80798
48.0993768184,11.531807662;81379
48.1142236337,11.5478075089;81371
48.1228933092,11.5305496758;81373
48.1644687312,11.580243666;80803
48.1607059694,11.4418473581;81245
48.1907763773,11.4520790541;80999
48.2059969809,11.6164164785;80939
48.1451898327,11.5687437028;80333
48.1007162239,11.5753997976;81547
48.1843409283,11.5853732021;80807
48.1326329007,11.5541710562;80336
48.1586935411,11.6374845071;81927
48.1338013027,11.6883071515;81829
48.1627132055,11.5576113633;80797
48.0885558453,11.4957036083;81476
48.1360834789,11.5382272143;80339
48.1076265813,11.6903497899;81827
48.098752122,11.6328925726;81737
48.1606553774,11.6641592915;81929
48.1107503275,11.5310483319;81369
48.0977708708,11.601180117;81549
48.1509918042,11.5436378514;80636
48.1586788211,11.5790825643;80801
